candidate_id,name,office_full,party_full,incumbent_challenge_full
H6FL25035,"CARBONARA, MICHAEL","House (District 22)|Broward, Palm Beach",REPUBLICAN PARTY,Challenger
H4FL09190,"CARTER, GREGORY MARCUS MR","House (District 9)|Orange, Osceola, Polk, Indian River, Okeechobee, Highlands, Glades",REPUBLICAN PARTY,Challenger
H0FL09115,"CASTILLO, JOSE","House (District 9)|Orange, Osceola, Polk, Indian River, Okeechobee, Highlands, Glades",REPUBLICAN PARTY,Challenger
H6FL11126,"CASTOR, KATHY","House (District 14)|Hillsborough, Pinellas",DEMOCRATIC PARTY,Incumbent
H6FL19178,"CAWTHORN, MADISON","House (District 19)|Collier, Lee",REPUBLICAN PARTY,Open seat
H0FL22100,"CEREZO SWAFFAR, DARLENE","House (District 23)|Broward, Palm Beach",REPUBLICAN PARTY,Challenger
H4FL09182,"CHALIFOUX, THOMAS E. COLONEL JR.","House (District 9)|Orange, Osceola, Polk, Indian River, Okeechobee, Highlands, Glades",REPUBLICAN PARTY,Challenger
H6FL18113,"CHANE, JONATHAN","House (District 18)|Collier, DeSoto, Glades, Hardee, Hendry, Highlands, Okeechobee, Polk",DEMOCRATIC PARTY,Open seat
H8FL20032,"CHERFILUS-MCCORMICK, SHEILA","House (District 20)|Broward, Palm Beach",DEMOCRATIC PARTY,Incumbent
H0FL05147,"CHESTER, ALBERT II","House (District 5)|Duval, St. Johns",DEMOCRATIC PARTY,Challenger
H6FL01515,"CHICO, DOUGLAS CONNOR","House (District 1)|Escambia, Santa Rosa, Okaloosa, Walton",REPUBLICAN PARTY,Challenger
H2FL25083,"CLARK, DREW-MONTEZ DR.","House (District 20)|Broward, Palm Beach",REPUBLICAN PARTY,Challenger
H4FL15155,"COHN, ALAN","House (District 15)|Hillsborough, Pasco, Polk",DEMOCRATIC PARTY,Challenger
H6FL19228,"COLLINS, CHRIS","House (District 19)|Collier, Lee",REPUBLICAN PARTY,Open seat
H6FL06381,"COOPER, ROBERT DAVID MR II","House (District 6)|Flagler, Lake, Marion, Putnam, St. Johns, Volusia",DEMOCRATIC PARTY,Challenger
H6FL07215,"DALTON, BALE","House (District 7)|Seminole, Volusia",DEMOCRATIC PARTY,Challenger
H6FL21059,"DANDIYA, PIA","House (District 22)|Broward, Palm Beach",DEMOCRATIC PARTY,Challenger
H8FL10066,"DARIUS, WADESON",House (District 10)|Orange,DEMOCRATIC PARTY,Challenger
H4FL10149,"DARIUS, WADESON WADE",House (District 10)|Orange,DEMOCRATIC PARTY,Challenger
H4FL13234,"D'ARRIGO, TONY C",House (District 13)|Pinellas,INDEPENDENT,Challenger
H4FL27036,"DAVEY, MICHAEL",House (District 27)|Miami-Dade,DEMOCRATIC PARTY,Challenger
H6FL06365,"DAVIS, MARK","House (District 16)|Hillsborough, Manatee",NO PARTY AFFILIATION,Open seat
H6FL08270,"DELLINGER, PAUL LYAL","House (District 8)|Brevard, Indian River, Orange",DEMOCRATIC PARTY,Challenger
S2FL00631,"DEMINGS, VAL",Senate|Statewide (All 67 Counties),DEMOCRATIC PARTY,Challenger
H2FL08063,"DEMINGS, VALDEZ 'VAL'",House (District 10)|Orange,DEMOCRATIC PARTY,Incumbent
H2FL13220,"DIAMOND, BEN",House (District 13)|Pinellas,DEMOCRATIC PARTY,Open seat
H2FL25018,"DIAZ-BALART, MARIO","House (District 26)|Collier, Miami-Dade, Monroe",REPUBLICAN PARTY,Incumbent
H4FL01213,"DIMMOCK, AARON","House (District 1)|Escambia, Santa Rosa, Okaloosa, Walton",REPUBLICAN PARTY,Challenger
H2FL14186,"DONALDS, BYRON","House (District 19)|Collier, Lee",REPUBLICAN PARTY,Incumbent
H6FL23170,"DORCE, SENDRA","House (District 23)|Broward, Palm Beach",REPUBLICAN PARTY,Challenger
H2FL21090,"DORILAS, ROD MR.","House (District 22)|Broward, Palm Beach",REPUBLICAN PARTY,Challenger
H6FL22107,"DOYLE, VICTORIA JANE BOKER","House (District 23)|Broward, Palm Beach",DEMOCRATIC PARTY,Challenger
S2FL00557,"DRIGGERS, CALVIN JOB",Senate|Statewide (All 67 Counties),REPUBLICAN PARTY,Challenger
H2FL07164,"DUKE, BRADY","House (District 7)|Seminole, Volusia",REPUBLICAN PARTY,Open seat
H6FL02208,"DUNN, NEAL PATRICK MD, FACS","House (District 2)|Bay, Calhoun, Franklin, Gadsden, Gulf, Holmes, Jackson, Jefferson, Lafayette, Leon, Liberty, Madison, Taylor, Wakulla, Washington",REPUBLICAN PARTY,Incumbent
H4FL25030,"EDDY, CHRISTOPHER","House (District 25)|Broward, Miami-Dade",REPUBLICAN PARTY,Challenger
H4FL28042,"EHR, PHIL","House (District 28)|Miami-Dade, Monroe",DEMOCRATIC PARTY,Challenger
H4FL01262,"EKPETE KAMA, ULOMA DR.","House (District 1)|Escambia, Santa Rosa, Okaloosa, Walton",REPUBLICAN PARTY,Challenger
H6FL19210,"ELLIOTT, STEPHEN W","House (District 19)|Collier, Lee",REPUBLICAN PARTY,Open seat
H0FL17159,"ELLISON, ALLEN","House (District 17)|Charlotte, Lee, Sarasota",DEMOCRATIC PARTY,Challenger
H2FL23278,"ELLISON, ALLEN","House (District 23)|Broward, Palm Beach",DEMOCRATIC PARTY,Challenger
S2FL00458,"ELLISON, ALLEN",Senate|Statewide (All 67 Counties),DEMOCRATIC PARTY,Challenger
H4FL17037,"ELLISON, ALLEN L","House (District 17)|Charlotte, Lee, Sarasota",DEMOCRATIC PARTY,Challenger
H4FL26111,"EVANS, RICHARD MR.","House (District 26)|Collier, Miami-Dade, Monroe",REPUBLICAN PARTY,Challenger
H8FL26062,"FAAS, SOURAYA","House (District 28)|Miami-Dade, Monroe",LIBERTARIAN PARTY,Open seat
H6FL13296,"FAY, JOHN T",House (District 13)|Pinellas,DEMOCRATIC PARTY,Challenger
H4FL07145,"FERNANDEZ, HILSIA TATIANA","House (District 7)|Seminole, Volusia",DEMOCRATIC PARTY,Challenger
H2FL07289,"FERNANDEZ, HLSIA","House (District 7)|Seminole, Volusia",DEMOCRATIC PARTY,Challenger
H8FL27110,"FERRER, GABRIEL A",House (District 27)|Miami-Dade,REPUBLICAN PARTY,Challenger
H6FL06258,"FINE, RANDY","House (District 6)|Flagler, Lake, Marion, Putnam, St. Johns, Volusia",REPUBLICAN PARTY,
H6FL13239,"FORD, EARLE",House (District 13)|Pinellas,DEMOCRATIC PARTY,Challenger
H6FL27064,"FORNINO, ALEXANDER",House (District 27)|Miami-Dade,DEMOCRATIC PARTY,Challenger
H4FL13200,"FOX, WHITNEY",House (District 13)|Pinellas,DEMOCRATIC PARTY,Challenger
H2FL14053,"FRANKEL, LOIS J.","House (District 23)|Broward, Palm Beach",DEMOCRATIC PARTY,Incumbent
H0FL15104,"FRANKLIN, SCOTT MR.","House (District 18)|Collier, DeSoto, Glades, Hardee, Hendry, Highlands, Okeechobee, Polk",REPUBLICAN PARTY,Incumbent
H6FL01523,"FRANKMAN, JOHN","House (District 1)|Escambia, Santa Rosa, Okaloosa, Walton",REPUBLICAN PARTY,Challenger
H6FL22149,"FRANZESE, DANIEL JOHN","House (District 22)|Broward, Palm Beach",REPUBLICAN PARTY,Challenger
H2FL21108,"FRANZESE, DANIEL JOHN","House (District 25)|Broward, Miami-Dade",REPUBLICAN PARTY,Challenger
H4FL26095,"FRATTO, JOHN ROBERT","House (District 19)|Collier, Lee",REPUBLICAN PARTY,Open seat
H2FL10259,"FROST, MAXWELL ALEJANDRO",House (District 10)|Orange,DEMOCRATIC PARTY,Incumbent
H6FL06373,"FURRY, WILL","House (District 6)|Flagler, Lake, Marion, Putnam, St. Johns, Volusia",REPUBLICAN PARTY,Challenger
H6FL01119,"GAETZ, MATT","House (District 1)|Escambia, Santa Rosa, Okaloosa, Walton",REPUBLICAN PARTY,Incumbent
H6FL01358,"GAFFNEY, KEVIN JAMES MR.","House (District 1)|Escambia, Santa Rosa, Okaloosa, Walton",REPUBLICAN PARTY,Open seat
H6FL06118,"GALLOWAY, G.G.","House (District 6)|Flagler, Lake, Marion, Putnam, St. Johns, Volusia",REPUBLICAN PARTY,Challenger
H6FL06357,"GAMBARO, CHARLES","House (District 6)|Flagler, Lake, Marion, Putnam, St. Johns, Volusia",REPUBLICAN PARTY,Challenger
H6FL18212,"GIBSON, CURTIS","House (District 18)|Collier, DeSoto, Glades, Hardee, Hendry, Highlands, Okeechobee, Polk",DEMOCRATIC PARTY,Challenger
H6FL26041,"GIL, YURINA","House (District 26)|Collier, Miami-Dade, Monroe",DEMOCRATIC PARTY,Challenger
H0FL26036,"GIMENEZ, CARLOS","House (District 28)|Miami-Dade, Monroe",REPUBLICAN PARTY,Incumbent
S6FL00848,"GLEASON, CHRISTOPHER",Senate|Statewide (All 67 Counties),REPUBLICAN PARTY,Challenger
H2FL24052,"GONZALEZ, PATRICIA","House (District 24)|Broward, Miami-Dade",REPUBLICAN PARTY,Open seat
H6FL05250,"GRAGE, RACHEL","House (District 5)|Duval, St. Johns",DEMOCRATIC PARTY,Challenger
H6FL13312,"GRAY, LEELA J",House (District 13)|Pinellas,DEMOCRATIC PARTY,Challenger
S6FL00376,"GRAYSON, ALAN MARK",Senate|Statewide (All 67 Counties),DEMOCRATIC PARTY,Challenger
H6FL08213,"GRAYSON, ALAN MARK","House (District 7)|Seminole, Volusia",DEMOCRATIC PARTY,
S2FL00581,"GRAYSON, ALAN MARK",Senate|Statewide (All 67 Counties),DEMOCRATIC PARTY,Challenger
H6FL09187,"GRAYSON, DENA MD, PHD MD, PHD","House (District 8)|Brevard, Indian River, Orange",DEMOCRATIC PARTY,Challenger
H6FL02299,"GREEN, AMANDA MARIE","House (District 2)|Bay, Calhoun, Franklin, Gadsden, Gulf, Holmes, Jackson, Jefferson, Lafayette, Leon, Liberty, Madison, Taylor, Wakulla, Washington",DEMOCRATIC PARTY,Open seat
H2FL08139,"GREEN, KAREN REV. DR.","House (District 7)|Seminole, Volusia",DEMOCRATIC PARTY,Open seat
H4FL01247,"GROSS, KEITH","House (District 2)|Bay, Calhoun, Franklin, Gadsden, Gulf, Holmes, Jackson, Jefferson, Lafayette, Leon, Liberty, Madison, Taylor, Wakulla, Washington",REPUBLICAN PARTY,Open seat
H4FL11089,"GROVES, RALPH","House (District 11)|Lake, Orange, Polk, Sumter",LIBERTARIAN PARTY,Open seat
H6FL23162,"GURFEIN, JARED","House (District 23)|Broward, Palm Beach",REPUBLICAN PARTY,Challenger
H4FL22136,"GUTMANN, ANDREW","House (District 22)|Broward, Palm Beach",REPUBLICAN PARTY,Challenger
H4FL11105,"HALL, BARBARA BARBIE HARDEN","House (District 11)|Lake, Orange, Polk, Sumter",DEMOCRATIC PARTY,Open seat
H4FL08168,"HARIDOPOLOS, MIKE","House (District 8)|Brevard, Indian River, Orange",REPUBLICAN PARTY,Incumbent
H6FL03099,"HARP, SETH ALLAN","House (District 3)|Alachua, Baker, Bradford, Columbia, Dixie, Gilchrist, Levy, Marion, Suwannee, Union",DEMOCRATIC PARTY,Challenger
H6FL16117,"HARRIS, JONATHAN","House (District 16)|Hillsborough, Manatee",DEMOCRATIC PARTY,Open seat
H6FL23139,"HARRISON, RAVEN","House (District 25)|Broward, Miami-Dade",REPUBLICAN PARTY,Challenger
H2FL23021,"HASTINGS, ALCEE L","House (District 20)|Broward, Palm Beach",DEMOCRATIC PARTY,Incumbent
H6FL19160,"HAWATMEH, OLA NESHESWAT","House (District 19)|Collier, Lee",REPUBLICAN PARTY,Open seat
H6FL05284,"HAZEN, ALEXANDER","House (District 5)|Duval, St. Johns",DEMOCRATIC PARTY,Challenger
H4FL08101,"HEARTON, JOHN L MR.","House (District 8)|Brevard, Indian River, Orange",REPUBLICAN PARTY,Challenger
H6FL05235,"HEGGESTAD, MARK PETER","House (District 5)|Duval, St. Johns",DEMOCRATIC PARTY,Challenger
H2FL13279,"HENSON, AUDREY",House (District 13)|Pinellas,REPUBLICAN PARTY,Open seat
H2FL04195,"HILL, ANTHONY TONY","House (District 4)|Clay, Duval, Nassau",DEMOCRATIC PARTY,Challenger
H6FL05193,"HOLLOWAY, LASHONDA J","House (District 4)|Clay, Duval, Nassau",DEMOCRATIC PARTY,
H2FL20159,"HOLNESS, DALE V.C. MR.","House (District 20)|Broward, Palm Beach",DEMOCRATIC PARTY,Challenger
H2FL22205,"HOLZHAUER, HAVA","House (District 23)|Broward, Palm Beach",DEMOCRATIC PARTY,Challenger
H6FL03131,"HUBAC, GEORGE EMIL","House (District 3)|Alachua, Baker, Bradford, Columbia, Dixie, Gilchrist, Levy, Marion, Suwannee, Union",DEMOCRATIC PARTY,Challenger
H6FL12199,"IRIZARRY, CHRISTOPHER","House (District 15)|Hillsborough, Pasco, Polk",DEMOCRATIC PARTY,Challenger
H6FL06399,"JENKINS, JENNIFER","House (District 8)|Brevard, Indian River, Orange",DEMOCRATIC PARTY,Challenger
H4FL14158,"JOARDER, EHSAN","House (District 6)|Flagler, Lake, Marion, Putnam, St. Johns, Volusia",REPUBLICAN PARTY,Challenger
H4FL07152,"JOHNSON, MICHAEL","House (District 7)|Seminole, Volusia",REPUBLICAN PARTY,Challenger
H2FL01241,"JONES, BRYAN CHRISTOPHER","House (District 1)|Escambia, Santa Rosa, Okaloosa, Walton",REPUBLICAN PARTY,Challenger
H0FL20112,"JONES, LATERESA ANN","House (District 9)|Orange, Osceola, Polk, Indian River, Okeechobee, Highlands, Glades",REPUBLICAN PARTY,Challenger
S6FL00277,"JONES, LATERESA ANN",Senate|Statewide (All 67 Counties),REPUBLICAN PARTY,Challenger
H2FL01233,"JONES, REBEKAH","House (District 1)|Escambia, Santa Rosa, Okaloosa, Walton",DEMOCRATIC PARTY,Challenger
H6FL20069,"JOSEPH, RODENAY MR.","House (District 20)|Broward, Palm Beach",REPUBLICAN PARTY,Challenger
H2FL17106,"KALE, ANDREA DORIA","House (District 18)|Collier, DeSoto, Glades, Hardee, Hendry, Highlands, Okeechobee, Polk",DEMOCRATIC PARTY,Challenger
H2FL20043,"KAUFMAN, JOE","House (District 25)|Broward, Miami-Dade",REPUBLICAN PARTY,Challenger
H6FL05201,"KAYE, MARK","House (District 5)|Duval, St. Johns",REPUBLICAN PARTY,Challenger
H6FL01333,"KEEBAUGH, CHARLES CLAYTON","House (District 1)|Escambia, Santa Rosa, Okaloosa, Walton",REPUBLICAN PARTY,Challenger
H6FL13262,"KEMP, KARLA",House (District 13)|Pinellas,DEMOCRATIC PARTY,Challenger
H4FL15189,"KEMP, PATRICIA","House (District 15)|Hillsborough, Pasco, Polk",DEMOCRATIC PARTY,Challenger
H4FL08143,"KENNEDY, SANDRA (SANDY) DENISE MS. ESQ","House (District 8)|Brevard, Indian River, Orange",DEMOCRATIC PARTY,Challenger
H6FL07165,"KINTER, MARIALANA","House (District 7)|Seminole, Volusia",DEMOCRATIC PARTY,Challenger
H6FL04220,"KIRWAN, MICHAEL","House (District 4)|Clay, Duval, Nassau",DEMOCRATIC PARTY,Challenger
H6FL04188,"KNOLES, RICKY PATRIC MR","House (District 4)|Clay, Duval, Nassau",DEMOCRATIC PARTY,Challenger
H0FL19247,"KOWAL, DANIEL","House (District 19)|Collier, Lee",REPUBLICAN PARTY,Open seat
H6FL27056,"LAMONDIN, RICHARD",House (District 27)|Miami-Dade,DEMOCRATIC PARTY,Challenger
S6FL00657,"LANG, JAKE",Senate|Statewide (All 67 Counties),REPUBLICAN PARTY,Challenger
H6FL23154,"LARKIN, OLIVER ADAMS","House (District 25)|Broward, Miami-Dade",DEMOCRATIC PARTY,Challenger
H6FL19186,"LAUF, CATALINA","House (District 19)|Collier, Lee",REPUBLICAN PARTY,Open seat
H0FL02086,"LAWSON, ALFRED JR","House (District 2)|Bay, Calhoun, Franklin, Gadsden, Gulf, Holmes, Jackson, Jefferson, Lafayette, Leon, Liberty, Madison, Taylor, Wakulla, Washington",DEMOCRATIC PARTY,Incumbent
H2FL15241,"LEE, LAUREL","House (District 15)|Hillsborough, Pasco, Polk",REPUBLICAN PARTY,Incumbent
H4FL25055,"LEIB, BRYAN","House (District 25)|Broward, Miami-Dade",REPUBLICAN PARTY,Challenger
H2FL12131,"LEISER, CHRISTOPHER MR.","House (District 12)|Citrus, Hernando, Pasco",REPUBLICAN PARTY,Challenger
S2FL00227,"LEMIEUX, GEORGE S",Senate|Statewide (All 67 Counties),REPUBLICAN PARTY,Challenger
H4FL19116,"LERNER, KARI","House (District 19)|Collier, Lee",DEMOCRATIC PARTY,Challenger
H2FL07198,"LE, TUAN A",House (District 10)|Orange,REPUBLICAN PARTY,Challenger
H6FL02323,"LEWIS, NICHOLAS JUSTIN","House (District 2)|Bay, Calhoun, Franklin, Gadsden, Gulf, Holmes, Jackson, Jefferson, Lafayette, Leon, Liberty, Madison, Taylor, Wakulla, Washington",REPUBLICAN PARTY,Open seat
H4FL13176,"LICCIONE, JOHN WILLIAM",House (District 13)|Pinellas,DEMOCRATIC PARTY,Challenger
H6FL26058,"LOCKLIN, NICOLE","House (District 26)|Collier, Miami-Dade, Monroe",DEMOCRATIC PARTY,Challenger
H4FL17052,"LOPEZ, MANNY","House (District 17)|Charlotte, Lee, Sarasota",DEMOCRATIC PARTY,Challenger
H6FL16125,"LYLES, TAMIKA","House (District 16)|Hillsborough, Manatee",DEMOCRATIC PARTY,Open seat
S6FL00673,"LYLES, TAMIKA MS",Senate|Statewide (All 67 Counties),DEMOCRATIC PARTY,Challenger
H6FL13189,"LYNN, ERIC",House (District 13)|Pinellas,DEMOCRATIC PARTY,Open seat
H2FL04203,"MACIE, MARA HEATHER","House (District 5)|Duval, St. Johns",REPUBLICAN PARTY,Challenger
H0FL13133,"MAKKI, AMANDA",House (District 13)|Pinellas,REPUBLICAN PARTY,Open seat
H6FL09260,"MALAVET, JORGE ANTONIO","House (District 9)|Orange, Osceola, Polk, Indian River, Okeechobee, Highlands, Glades",REPUBLICAN PARTY,Challenger
H6FL20077,"MANLEY, ELIJAH","House (District 20)|Broward, Palm Beach",DEMOCRATIC PARTY,Challenger
H2FL20290,"MARINER, JASON","House (District 20)|Broward, Palm Beach",REPUBLICAN PARTY,Challenger
H2FL21165,"MARKS, MARTIN J.","House (District 21)|Martin, Palm Beach, St. Lucie",REPUBLICAN PARTY,Challenger
H6FL11217,"MARTIN, JACK","House (District 12)|Citrus, Hernando, Pasco",REPUBLICAN PARTY,Challenger
H6FL21075,"MARTIN, JAMES","House (District 21)|Martin, Palm Beach, St. Lucie",DEMOCRATIC PARTY,Challenger
H6FL18097,"MAST, BRIAN","House (District 21)|Martin, Palm Beach, St. Lucie",REPUBLICAN PARTY,Incumbent
H6FL20119,"MAXIME, KEDNER","House (District 20)|Broward, Palm Beach",INDEPENDENT,Challenger
H6FL15192,"MCAULEY, DARREN","House (District 12)|Citrus, Hernando, Pasco",DEMOCRATIC PARTY,Challenger
S6FL00236,"MCBRIDE, WILLIAM",Senate|Statewide (All 67 Counties),REPUBLICAN PARTY,Challenger
H4FL05123,"MCGOVERN, JAY","House (District 5)|Duval, St. Johns",DEMOCRATIC PARTY,Challenger
H2FL07206,"MCGOVERN, KEVIN JOHN","House (District 15)|Hillsborough, Pasco, Polk",REPUBLICAN PARTY,Open seat
H6FL22099,"MEDVEDEVA, ANNA","House (District 22)|Broward, Palm Beach",REPUBLICAN PARTY,Challenger
H0FL01146,"MERK, GREGORY CHARLES","House (District 1)|Escambia, Santa Rosa, Okaloosa, Walton",REPUBLICAN PARTY,Open seat
H8FL07062,"MILLER, MIKE","House (District 7)|Seminole, Volusia",REPUBLICAN PARTY,Challenger
H4FL16187,"MILLER, TRENT","House (District 16)|Hillsborough, Manatee",DEMOCRATIC PARTY,Challenger
H2FL07156,"MILLS, CORY","House (District 7)|Seminole, Volusia",REPUBLICAN PARTY,Incumbent
H6FL01143,"MILLS, RALPH JOHN III","House (District 1)|Escambia, Santa Rosa, Okaloosa, Walton",REPUBLICAN PARTY,Challenger
H0FL17118,"MOISE, RUDOLPH DR.","House (District 24)|Broward, Miami-Dade",DEMOCRATIC PARTY,Challenger
H0FL10113,"MONTAGUE, WILLIE",House (District 10)|Orange,REPUBLICAN PARTY,Challenger
H4FL17060,"MONTAVON, MATTHEW","House (District 17)|Charlotte, Lee, Sarasota",DEMOCRATIC PARTY,Challenger
S6FL00640,"MOODY, ASHLEY",Senate|Statewide (All 67 Counties),REPUBLICAN PARTY,Incumbent
H6FL23147,"MORAITIS, GEORGE R","House (District 25)|Broward, Miami-Dade",REPUBLICAN PARTY,Challenger
H2FL09277,"MORALES, ADIANIS","House (District 9)|Orange, Osceola, Polk, Indian River, Okeechobee, Highlands, Glades",REPUBLICAN PARTY,Challenger
H6FL06407,"MORGAN, STEVE","House (District 6)|Flagler, Lake, Marion, Putnam, St. Johns, Volusia",DEMOCRATIC PARTY,Challenger
H2FL22171,"MOSKOWITZ, JARED","House (District 25)|Broward, Miami-Dade",DEMOCRATIC PARTY,Incumbent
S4FL00611,"MUCARSEL-POWELL, DEBBIE",Senate|Statewide (All 67 Counties),DEMOCRATIC PARTY,Challenger
S6FL00806,"MUJICA, HECTOR DANIEL",Senate|Statewide (All 67 Counties),DEMOCRATIC PARTY,Challenger
H6FL06332,"MURCHINSON-RIVERA, RONNIE","House (District 6)|Flagler, Lake, Marion, Putnam, St. Johns, Volusia",DEMOCRATIC PARTY,Challenger
H6FL02364,"MURPHY, LUKE","House (District 2)|Bay, Calhoun, Franklin, Gadsden, Gulf, Holmes, Jackson, Jefferson, Lafayette, Leon, Liberty, Madison, Taylor, Wakulla, Washington",REPUBLICAN PARTY,Open seat
H6FL07140,"MURPHY, STEPHANIE","House (District 7)|Seminole, Volusia",DEMOCRATIC PARTY,Incumbent
H4FL24058,"NAVARRO, JESUS","House (District 24)|Broward, Miami-Dade",REPUBLICAN PARTY,Challenger
H4FL14091,"NEELD, ROBERT M. JR.","House (District 19)|Collier, Lee",DEMOCRATIC PARTY,
S2FL00656,"NGUYEN, QUOC TUAN MR.",Senate|Statewide (All 67 Counties),NO PARTY AFFILIATION,Challenger
S6FL00830,"NIXON, ANGELA",Senate|Statewide (All 67 Counties),DEMOCRATIC PARTY,Challenger
H6FL02356,"NORTON, JIM","House (District 2)|Bay, Calhoun, Franklin, Gadsden, Gulf, Holmes, Jackson, Jefferson, Lafayette, Leon, Liberty, Madison, Taylor, Wakulla, Washington",REPUBLICAN PARTY,Open seat
H6FL19129,"OBERWEIS, JAMES MR.","House (District 19)|Collier, Lee",REPUBLICAN PARTY,Open seat
H0FL23041,"OLIVO, CHRISTINE ALEXANDRIA","House (District 24)|Broward, Miami-Dade",NO PARTY AFFILIATION,Challenger
H0FL09073,"ORTIZ, SERGIO E","House (District 9)|Orange, Osceola, Polk, Indian River, Okeechobee, Highlands, Glades",REPUBLICAN PARTY,Challenger
H6FL21083,"OTT, ROBERT DR.","House (District 21)|Martin, Palm Beach, St. Lucie",NO PARTY AFFILIATION,Challenger
