AcctNum,Name,Type,TypeDesc,Addr1,Addr2,City,State,Zip,County,Phone,ChrNameLast,ChrNameFirst,ChrNameMiddle,TrsNameLast,TrsNameFirst,TrsNameMiddle
73967,American Federation of Teachers-Solidarity,IXO,Independent Expenditures Organization,"555 New Jersey Avenue, NW",,Washington,DC,20001,Leon,2022536453,Moskwa,Shelly,,,,
83584,American Police Officers Alliance,IXO,Independent Expenditures Organization,7901 4th Street North,Suite 300,St Petersburg,FL,33702,Pinellas,8132791775,Stuebs,Daniel,D.,Stuebs,Daniel,D.
69472,Americans for Tax Reform,IXO,Independent Expenditures Organization,"722 12th Street, NW, #400",,Washington,DC,20005,,2024660750,Butler,Christopher,,,,
88734,Atlantic Beach Perservation,IXO,Independent Expenditures Organization,1938 Beachside Court,,Atlantic Beach,FL,32233,Duval,9044726262,Glasser,Ellen,,,,
88731,CatholicVote.org Civic Action,IXO,Independent Expenditures Organization,PO Box 3310,,Carmel,IN,46082,,,Burch,Brian,,,,
51312,"Charles K. Windes, Jr.",IXO,Independent Expenditures Organization,Post Office Box 632,,Destin,FL,32540,Okaloosa,,Windes Jr.,Charles,K.,Windes Jr.,Charles,K.
69462,Climate Reality Action Fund,IXO,Independent Expenditures Organization,"750 9th Street, NW, Suite 520",,Washington,DC,20001,,2025676835,Jenkins,David,,,,
79017,"Craig Lichtblau, M.D.",IXO,Independent Expenditures Organization,750 Ocean Royal,PH 5,Juno Beach,FL,33408,,5618423694,Lichtblau,Craig,,,,
69413,Environmental Defense Action Fund,IXO,Independent Expenditures Organization,257 Park Avenue South,17th Floor,New York,NY,10100,,2126161205,Ortiz,Carmen,,,,
42042,"Florida Family Associationn, Inc.",IXO,Independent Expenditures Organization,,,,,,,,Caton,David,,,,
41467,Florida Hospital Association,IXO,Independent Expenditures Organization,306 East College Avenue,,Tallahassee,FL,323011522,Leon,,Miller,J.,Daniel,Owens,Frances,J.
50116,Florida Solar Energy Industries Association (FlaSEIA),IXO,Independent Expenditures Organization,231 West Bay Avenue,,Longwood,FL,327504125,Seminole,,Kershner,R.,Bruce,,,
73671,Freedom Council USA,IXO,Independent Expenditures Organization,228 South Washington Street,Suite 115,Alexandria,VA,22314,,7035497705,Satterfield,David,,,,
88651,Informed Church America,IXO,Independent Expenditures Organization,937 North Collier Blvd,,Marco Island,FL,34145,,6309578838,Stonebreaker,Jennifer,,,,
59891,John Donnelly,IXO,Independent Expenditures Organization,,,,,,,,Donnelly,John,,,,
41409,John E. 'Ted' Carter Independent Expenditures,IXO,Independent Expenditures Organization,Post Office Box 345,,Tavernier,FL,330700000,Monroe,,No Chairman Designated,,,Carter,John,E. 'Ted'
44833,Johnnie Byrd,IXO,Independent Expenditures Organization,,,,,,,,Byrd,Johnnie,,Byrd,Johnnie,
44846,"L. Charels Hilton, Jr.",IXO,Independent Expenditures Organization,4116 North Highway 231,,Panama City,FL,324040000,Bay,8507854675,Hilton Jr.,L.,Charles,Hilton Jr.,L.,Charles
49897,Lynne Hankins Fielder,IXO,Independent Expenditures Organization,Post Office Box 420973,,Summerland Key,FL,330420973,,3058725000,Fielder,Lynne,Hankins,Fielder,Lynn,Hankins
64289,M.C.  Davis,IXO,Independent Expenditures Organization,4405 Commons Drive East,Suite 301,Destin,FL,32541,,8504243240,Davis,M.C.,,Davis,M.C.,
41377,Martin County Education Association,IXO,Independent Expenditures Organization,668 SE Monterey Road,,Stuart,FL,349940000,Martin,,No Chairman Designated,,,Scruggs,Joyce,
41380,National Right to Life Committee,IXO,Independent Expenditures Organization,512 10th Street NW,,Washington,DC,200040000,,,O'Steen,David,N.,Natividad,Amarie,C.
79002,New Florida Majority,IXO,Independent Expenditures Organization,10800 Biscayne Boulevard,Suite 1050,Miami,FL,33161,,3057540118,Simmons,Victricia,,,,
88594,New Southern Majority IE PAC,IXO,Independent Expenditures Organization,150 East Ponce de Leon Avenue,Suite 340,Decatur,GA,30030,,9543037202,Mercado,Andrea,,,,
69456,Outfront Media LLC,IXO,Independent Expenditures Organization,2350 Kerner Blvd.,Suite 250,San Rafael,CA,94901,Hillsborough,4153896800,Shuford,Brian,,,,
41461,Paul V. Sims,IXO,Independent Expenditures Organization,1809 St. Andrews Blvd,,Panama City,FL,324050000,Bay,,Sims,Paul,V.,,,
73795,People for the American Way,IXO,Independent Expenditures Organization,"1101 15th Street, Northwest",Suite 600,Washington,DC,20005,,2024672399,Laviolette,Diane,,,,
79001,Progress Florida,IXO,Independent Expenditures Organization,200 2nd Avenue South #808,,St. Petersburg,FL,33701,,7272892612,Ferrulo,Mark,,,,
83589,Protecting Americans Project Action Fund,IXO,Independent Expenditures Organization,1390 Chain Bridge Road,Suite 515,McLean,VA,22101,,8407239455,Johnson,Melodie,,Johnson,Melodie,
41635,Remeber The Lottery/ Strategic Technology,IXO,Independent Expenditures Organization,401 SE 12th Street,,Fort Lauderdale,FL,333160000,Broward,9545244963,Lewis,Daniel,,,,
83500,RSLC - Florida,IXO,Independent Expenditures Organization,Post Office Box 772516,,Miami,FL,33177,,2024485160,Jorge-Tunon,Edith,,,,
41674,"SEIU, Local 8, Independent Expenditures",IXO,Independent Expenditures Organization,7001 Lake Ellenor Drive,Suite 130,Orlando,FL,328095792,Orange,4078565828,Church,Van,E.,Church,Van,E.
54734,Sierra Club,IXO,Independent Expenditures Organization,2101 Webster St.,Suite 1300,Oakland,CA,94612,Duval,9042471876,Larson,Thomas,C.,Larson,Thomas,C.
88728,Social Equity Through Education Alliance,IXO,Independent Expenditures Organization,935 N Beneva Rd,Suite 609 #103,Sarasota,FL,34232,Sarasota,9419614387,Dennison,Anna,,Dennison,Anna,
83501,Support Our Schools USA Inc.,IXO,Independent Expenditures Organization,622 Siesta Drive,,Sarasota,FL,34242,,9417408155,Schurr,Lisa,,,,
69474,The Aliance for Solar Choice (TASC),IXO,Independent Expenditures Organization,"595 Market Street, 29th Floor",,San Francisco,CA,94105,,3362133545,Grinstead,Tyson,,,,
69510,The Alliance for Climate Protection,IXO,Independent Expenditures Organization,"750 9th Street, NW",Suite 520,Washington,DC,20001,,2025676837,LaVallee,Vanessa,,,,
73863,The Miami Foundation,IXO,Independent Expenditures Organization,40 NW 3rd Street,Suite 305,Miami,FL,331281838,,3053712711,Soto,Javier,Alberto,,,
60071,The National Women's Law Center,IXO,Independent Expenditures Organization,"11 Dupont Circle, Suite 800",,Washington,DC,20036,,2025885180,Martin,Emily,J.,,,
69383,The Nature Conservancy,IXO,Independent Expenditures Organization,2500 Maitland Center Parkway,Suite 311,Maitland,FL,32751,,4976823664,Bang,Eppie,,,,
83596,Turning Point PAC Inc,IXO,Independent Expenditures Organization,4930 East Beverly Road,Suite 2000,Phoenix,AZ,85044,,2407239455,Johnson,Melodie,,,,
83557,WOMEN SPEAK OUT PAC,IXO,Independent Expenditures Organization,2776 S. Arlington Mill Drive,# 803,Arlington,VA,22206,,7035774407,Gross,Jennifer,,,,
88616,Working Families Party PAC,IXO,Independent Expenditures Organization,77 Sands Street,,Brooklyn,NY,11201,,,Boland,Mike,,Boland,Mike,
78954,1 South Dade,PAC,Political Committee,6619 South Dixie Highway #148,,Miami,FL,33143,Miami-Dade,7863093489,McGhee,Kionne,,Maggiolo,Gloria,
83813,1000 Jews of Florida,PAC,Political Committee,527 East Park Avenue,,Tallahassee,FL,32301,Leon,8504041000,Kilman,Jonathan,,Lowell,Paul,
61018,1199 SEIU Florida Political Committee,PAC,Political Committee,2881 Corporate Way,,Miramar,FL,33025,Miami-Dade,5612297387,Nelson,Roxey,,Jones,Coyuca,
69834,1845,PAC,Political Committee,P. O. Box 20252,,St. Petersburg,FL,33742,,,Whitson,Marisa,,Jodoin,Jamie,C.
80489,1st Coast Conservatives United,PAC,Political Committee,P. O. Box 20252,,St. Petersburg,FL,33742,Leon,,Ripley,Teresa,,Jodoin,Jamie,C.
69971,21st Century Public Servant,PAC,Political Committee,115 East Park Avenue,Suite 1,Tallahassee,FL,32301,Leon,3522755004,Jones,William,S.,Jones,William,S.
73713,27th State,PAC,Political Committee,613 Oleander Drive,,Hallandale Beach,FL,33009,Broward,9544943182,London,Keith,S.,London,Keith,S.
93205,3 Degrees Florida,PAC,Political Committee,120 South Monroe Street,,Tallahassee,FL,32301,Leon,8507277087,Strickland,Derek,,Ramba,David,E.
61429,67 Florida,PAC,Political Committee,527 East Park Avenue,,Tallahassee,FL,32301,Leon,8504041000,Drake,Brad,,Fenner,Noreen,A.
60694,78 Political Committee,PAC,Political Committee,2153 West Oak Ridge Road,,Orlando,FL,32809,Orange,4078523977,Jones,Richard,,Thompson,Terrance,
89764,A Better Burg,PAC,Political Committee,Post Office Box 20252,,St. Petersburg,FL,33742,Pinellas,7278955298,Lynch,Maryann,,Jodoin,Jamie,C.
89232,A Better FL is Possible,PAC,Political Committee,5320 10th Street North,,St. Petersburg,FL,33703,Pinellas,7274014581,Carey,Nicholas,,Price,Marley,
89270,A Better Florida for America,PAC,Political Committee,"1931 Cordova Road, Suite 2016",,Fort Lauderdale,FL,33316,Broward,2027630143,Brown,Yolanda,,Brown,Yolanda,
79386,A Better Future for Florida,PAC,Political Committee,Post Office Box 1701,,Tallahassee,FL,32302,Leon,8505674878,Herron,Mark,,Herron,Mark,
83748,A Better Miami,PAC,Political Committee,Post Office Box 122,,Tallahassee,FL,32302,Leon,7862305085,Herrero,Miguel,Angel,Camara,Christian,R.
75161,A Better Sarasota,PAC,Political Committee,1515 Ringling Boulevard,Suite 530,Sarasota,FL,34236,Sarasota,9412006551,Schleicher,Joel,,Robinson,Eric,
83742,A Better South Florida,PAC,Political Committee,Post Office Box 936131,,Margate,FL,33093,Broward,9548062077,Goldman,Matthew,T,Jodoin,Jamie,C
79906,A Better St. Johns,PAC,Political Committee,1509 East 9th Avenue,,Tampa,FL,33605,Hillsborough,8135230326,Kendust,Rick,,White,Wendy,
89972,A Better Tomorrow,PAC,Political Committee,Post Office Box 30295,,Fort Lauderdale,FL,33303,Broward,9547670300,Straker,Kesiza,,Blank,Jason,B.
74667,A Bold Florida Future,PAC,Political Committee,115 East Park Avenue,Suite 1,Tallahassee,FL,32301,Leon,3522755004,Jones,William,S.,Jones,William,S.
74487,A Bolder Florida,PAC,Political Committee,4914 SW 72 Avenue,,Miami,FL,33155,Miami-Dade,3054450777,Rodriguez,Anthony,,Riesco,Jose,
84576,A Bright Future For Hollywood,PAC,Political Committee,Post Office Box 30295,,Fort Lauderdale,FL,33303,Broward,9547670300,Nizel,Harris,,Blank,Jason,B.
69291,A Healthier St. Johns,PAC,Political Committee,527 East Park Avenue,,Tallahassee,FL,323010000,St. Johns,8504041000,DeVooght,Carlton,,Fenner,Noreen,A.
84678,"A Healthier, More Equal Florida",PAC,Political Committee,Post Office Box 30265,,Fort Lauderdale,FL,33303,Broward,9547670300,Fischman,Andrew,,Blank,Jason,B.
89650,A New Brand of Florida,PAC,Political Committee,527 East Park Avenue,,Tallahassee,FL,32301,Leon,8504041000,Keiser,Andrea,,Fenner,Noreen,A.
84180,A New Hope For Tomorrow,PAC,Political Committee,Post Office Box 1701,,Tallahassee,FL,32302,Broward,8505674878,Jacobs,Rodney,,Herron,Mark,
88858,A New Way Forward,PAC,Political Committee,6619 South Dixie Highway,No 148,Miami,FL,33143,Miami-Dade,,McGhee,Kionne,,Maggiolo,Gloria,
89934,A Prosperous South Florida,PAC,Political Committee,Post Office Box 16153,,Plantation,FL,33318,Broward,7276324835,Hearn,Shomari,,Hearn,Shomari,
79454,A Safer Jacksonville For All,PAC,Political Committee,7749 Normandy Boulevard,NUM 121-805,Jacksonville,FL,32221,Duval,3522755004,Jones,William,S.,Jones,William,S.
89029,A Safer Miami Beach,PAC,Political Committee,Post Office Box 1543,,Miami Beach,FL,33119,Miami-Dade,9547670300,Fernandez,Alex,,Olsen,Brendan,
73736,A Seat at the Table,PAC,Political Committee,2909 Saint Johns Avenue #9A,,Jacksonville,FL,32205,Duval,8506613941,Green,Shelby,,Green,Shelby,
71120,A Stronger Florida,PAC,Political Committee,2640 Mitcham Drive,,Tallahassee,FL,32308,Leon,8508771099,Camm,Celeste,,Heitmeyer,Rich,
83508,A Stronger Jacksonville,PAC,Political Committee,527 East Park Avenue,,Tallahassee,FL,32301,Leon,8504041000,Ashley,David,,Fenner,Noreen,A
93206,A Stronger North Broward,PAC,Political Committee,Post Office Box 30295,,Fort Lauderdale,FL,33303,Broward,9547670300,Reiter,Ryan,,Blank,Jason,B.
80955,"A Sunny Tomorrow, Inc.",PAC,Political Committee,Post Office Box 30265,,Fort Lauderdale,FL,33303,Broward,9547670300,Blank,Jason,B.,Blank,Jason,B.
89536,A Vision Without Division,PAC,Political Committee,201 4th Street South #814,,St. Petersburg,FL,33701,Pinellas,7273080863,Balliet,Terri,Lee,Lopez,Luis,Fernando
84032,A-Ha!,PAC,Political Committee,Post Office Box 122,,Tallahassee,FL,32302,Leon,3056084300,Camara,Christian,R,Camara,Christian,R
61173,ABC Merit Shop PC,PAC,Political Committee,P.O. Box 880448,,Boca Raton,FL,33488,Broward,9549840075,Daugherty,Michele,,Bowen,Carol,
112,ABC PAC,PAC,Political Committee,3730 Coconut Creek Parkway,Suite 200,Coconut Creek,FL,33066,Broward,9549840075,Maken,Sonny,,Dyga,Peter,
62172,ABC-Florida First Coast Chapter PAC,PAC,Political Committee,8130 Baymeadows Way W,Suite 307,Jacksonville,FL,32256,Duval,9047311506,Rouse,Wendy,,Tucker,Karin,
75042,ABCD: Accountability = Better Community Direction,PAC,Political Committee,Post Office Box 244,,Englewood,FL,34295,Sarasota,9414510557,Brunni,Conni,,Brunni,Conni,
90639,Accountability First Leadership,PAC,Political Committee,1728 NE Miami Gardens Drive,#1122,North Miami Beach,FL,33179,Miami-Dade,7865292261,Su,Lynn,,Camara,Christian,R
90139,Accountability for Key West,PAC,Political Committee,1722 Northwest 80th Boulevard,Suite 90,Gainesville,FL,32606,Alachua,3522755004,Jones,William,S.,Jones,William,S.
79421,Accountability in Florida,PAC,Political Committee,Post Office Box 30295,,Fort Lauderdale,FL,33303,Broward,9547670300,Haber,Jason,H.,Blank,Jason,B.
66015,"Accountability In Government, Inc.",PAC,Political Committee,"115 East Park Avenue, Suite 1",,Tallahassee,FL,32301,Leon,3522755004,Jones,William,S.,Jones,William,S.
89080,ACEs Action Florida,PAC,Political Committee,527 East Park Avenue,,Tallahassee,FL,32301,Leon,8504041000,Spritz,Matt,,Fenner,Noreen,A.
60649,Action For Behavioral Healthcare,PAC,Political Committee,316 East Park Avenue,,Tallahassee,FL,32301,Leon,8502246048,Bell,Chet,,Ailes,Edwin,
73827,Action for Florida,PAC,Political Committee,2800 South Adams St Unit 5651,,Tallahassee,FL,32314,Leon,8506613941,Green,Shelby,,Green,Shelby,
74658,Actions Matter PC,PAC,Political Committee,Post Office Box 30295,,Fort Lauderdale,FL,33303,Broward,9547670300,Haber,Jason,H.,Blank,Jason,B.
79497,adVance Northwest Florida Values,PAC,Political Committee,Post Office Box 341,,Marianna,FL,32447,Jackson,8502095308,Coley,Vance,,Jodoin,Jamie,C
64840,Advancing Florida Agriculture,PAC,Political Committee,527 East Park Avenue,,Tallahassee,FL,32301,Leon,8504041000,Albritton,Ben,,Fenner,Noreen,A.
84509,Advancing Florida United,PAC,Political Committee,Post Office Box 1515,,Quincy,FL,32353,Gadsden,9044630377,NeSmith,Kimblin,E,Bradwell,Kurk,
88604,Advancing Physical Rehabilitation,PAC,Political Committee,527 East Park Avenue,,Tallahassee,FL,32301,Leon,8504041000,Jogerst,Brian,,Fenner,Noreen,A.
88669,Advancing Strong Governance,PAC,Political Committee,527 East Park Avenue,,Tallahassee,FL,32301,Leon,8504041000,Cleary,Kevin,,Fenner,Noreen,A.
85057,Advocates for All Children,PAC,Political Committee,527 East Park Avenue,,Tallahassee,FL,32301,Leon,8504041000,Gillette,Kathryn,,Fenner,Noreen,A.
60628,Advocates for Business Growth,PAC,Political Committee,1301 Riverplace Boulevard,Suite 1500,Jacksonville,FL,32207,Duval,9043465755,Hainline,T.,R.,Franklin Jr.,Fred,D.
83845,Advocates for Positive Patient Outcomes,PAC,Political Committee,5471 Spring Hill Drive,,Spring Hill,FL,34606,Hernando,3525962883,Woodruff,Randall,,Woodruff,Randall,
64778,Affectionately Building Communities PC,PAC,Political Committee,120 South Monroe Street,,Tallahassee,FL,32301,Leon,8507277087,Ramba,David,E.,Ramba,David,E.
84183,Affordable Florida,PAC,Political Committee,Post Office Box 10131,,Tallahassee,FL,32302,Leon,9548030231,Holroyd III,Robert,E,Fenner,Noreen,A.
93218,African American Conservative Alliance,PAC,Political Committee,"1334 Timberlane Road, Suite 15",,Tallahassee,FL,32312,Leon,8134177025,Brothers,Riley,,Brothers,Riley,
74842,AFSCME Council 79 Political Committee,PAC,Political Committee,700 S Royal Poinciana Blvd,Suite,Miami Springs,FL,33166,Leon,8502220842,Townsend,Dorothy,Y,Townsend,Dorothy,
61265,AFSCME Florida,PAC,Political Committee,"1625 L Street, NW",,Washington,DC,20036,Orange,2024291088,Saunders,Lee,,McBride,Elissa,
60629,AGC-FEC PAC,PAC,Political Committee,527 East Park Avenue,,Tallahassee,FL,32301,Leon,8504041000,Schafer,Bob,,Sharkey,Don,
60708,Agents for a Better Florida,PAC,Political Committee,527 East Park Avenue,,Tallahassee,FL,32301,Broward,8504041000,Ritchie,Glenn,,Dewhurst,Craig,
61062,Agents PAC,PAC,Political Committee,610 South Boulevard,,Tampa,FL,33606,Miami-Dade,8132543369,Benefield,S'Neta,,Watkins,Nancy,H.
84061,Agriculture In Action PAC,PAC,Political Committee,10670 Heritage Farms Road,,Lake Worth,FL,33449,Palm Beach,8134098465,Haverland,Keely,Renee,Cabrera,Anibal,D.
89209,"AL-PAC Florida, NFP",PAC,Political Committee,6314 Kingspointe Parkway #7,,Orlando,FL,32819,Orange,8477833000,Leopardo,Anthony,J,Aldworth,Alan,W
60693,Alachua - Totally Involved in Government and Education Reform,PAC,Political Committee,618 NW 13th Avenue,,Gainesville,FL,32601,Alachua,3523777635,Cook,Kim,,Durham,Wanda,
89035,Alachua County Stonewall PAC,PAC,Political Committee,Post Office Box 6208,,Gainesville,FL,32627,Alachua,3522134428,Strain,Helen,,Bassham,Linda,
79352,Alachua County's Future,PAC,Political Committee,PO Box 357536,,Gainesville,FL,32635,Broward,9547670300,Goodison,Crystal,,Burnette,Matthew,
45995,"All About Florida Committee, Inc.",PAC,Political Committee,100 South Monroe Street,,Tallahassee,FL,32301,Leon,8509224300,Delegal,Virginia,S.,Mosteller,Cragin,
79710,All Things Common PC,PAC,Political Committee,1225 West Beaver Street,Suite 204A,Jacksonville,FL,32204,Duval,9042654753,McWilliams,Carol,,Buckner,Frances,
89262,Allegiance To Democracy,PAC,Political Committee,Post Office Box 30265,,Fort Lauderdale,FL,33303,Broward,9547670300,Mangeney,August,,Blank,Jason,B.
83814,Alliance Champions PC,PAC,Political Committee,120 South Monroe Street,,Tallahassee,FL,32301,Leon,8507277087,Robertson,Jim,,Ramba,David,E
64267,Alliance For Honest Government,PAC,Political Committee,Post Office Box 10329,,Tallahassee,FL,32302,Leon,8502518898,Mayernick,Frank,,Mayernick,Frank,P.
60981,Alliance for Progressive Representation PAC,PAC,Political Committee,2618 Centennial Place,,Tallahassee,FL,32308,Leon,8505674878,Herron,Mark,,Herron,Mark,
89852,Alliance of Accredited Investors PC,PAC,Political Committee,527 East Park Avenue,,Tallahassee,FL,32301,Leon,8504041000,DePriest,Jennings,,Fenner,Noreen,A.
61445,Alliance of Florida PPECs PAC,PAC,Political Committee,2568 Centerville Court,,Tallahassee,FL,32308,Leon,8505560203,Snow,Christopher,Robert,Snow,Christopher,Robert
71119,Allies of Opportunity,PAC,Political Committee,2618 Centennial Place,,Tallahassee,FL,32303,Leon,8505674878,Herron,Mark,,Herron,Mark,
80528,America First Florida First,PAC,Political Committee,4914 SW 72 Avenue,,Miami,FL,33155,Miami-Dade,3054450777,Gonzalez,Roberto,,Riesco,Jose,A.
88717,America First Fund,PAC,Political Committee,Post Office Box 10085,,Tallahassee,FL,323022085,Leon,8502247173,Bevis,Brewster,B,Trickey,Stephen,B.
80035,America First PC,PAC,Political Committee,527 East Park Avenue,,Tallahassee,FL,32301,Leon,8504041000,Cortese,Tony,,Fenner,Noreen,A.
89215,America For Prosperity,PAC,Political Committee,1451 W. Cypress Creek Road,Suite 300,Ft. Lauderdale,FL,33309,Broward,9547271770,Metelus,Jennyfer,,Metelus,Jennyfer,
89847,America Only,PAC,Political Committee,527 East Park Avenue,,Tallahassee,FL,32301,Leon,8504041000,DePriest,Jennings,,Fenner,Noreen,A.
85669,America Votes Florida,PAC,Political Committee,1155 Connecticut Avenue NW,Suite 600,Washington,DC,20036,Hillsborough,2029627240,Diaz,Maria,,Schloesser,Heidi,
89263,American Dream,PAC,Political Committee,11260 Southwest 3rd Street,,Sweetwater,FL,33174,Miami-Dade,7863608411,Wichman,Enrique,,Wichman,Enrique,
89132,American Empowerment Collective PAC Inc.,PAC,Political Committee,425 W Colonial Dr Ste 303 #681,,Orlando,FL,32804,Orange,6084011089,Bataineh,Mohammad,,Sehic,Almas,
78819,American Fire Sprinkler Association - FL Political Committee,PAC,Political Committee,10312 Bloomingdale Ave.,Ste. 108  #377,Riverview,FL,33578,Hillsborough,8137843624,Cox,Jessica,,Johnson,Christopher,
78840,American Flood Action PC,PAC,Political Committee,610 South Boulevard,,Tampa,FL,33606,Hillsborough,8132543369,Valenstein,Noah,,Watkins,Nancy,
89894,American Mission Florida,PAC,Political Committee,2241 North Monroe Street #1221,,Tallahassee,FL,32303,Leon,2028139118,Furst,Bill,,Flores,Leah,
79979,American Pride Committee,PAC,Political Committee,2200 Wilson Boulevard #102-135,,Arlington,VA,222013324,Leon,7034953594,Morgan,Mason,,Morgan,Mason,
79623,American Values PAC,PAC,Political Committee,"115 East Park Avenue, Suite 1",,Tallahassee,FL,32301,Leon,3522755004,Jones,William,S,Jones,William,S.
71040,"Americans For Liberty and Prosperity, Inc.",PAC,Political Committee,115 East Park Avenue,Suite 1,Tallahassee,FL,32301,Leon,3522755004,Jones,William,S.,Jones,William,S.
74406,Americans For Progress,PAC,Political Committee,Post Office Box 30295,,Fort Lauderdale,FL,33303,Broward,9547670300,Haber,Jason,H.,Blank,Jason,B.
80335,"Americans for Prosperity Action, Inc.",PAC,Political Committee,4201 WILSON BLVD #110,PO BOX 358,Arlington,VA,22203,Broward,7032243200,Nascimento,Nathan,,Clancy,Margee,
89435,And Justice For All P.A.C.,PAC,Political Committee,1287 East Blue Heron Boulevard,STE 1,Riviera Beach,FL,33404,Palm Beach,5619329044,Mavour,Joi,,Mavour,Joi,
84389,Anesthesiologist Assistants Political Action Committee,PAC,Political Committee,527 East Park Avenue,,Tallahassee,FL,32301,Leon,8504041000,Carroll,Jeff,,Fenner,Noreen,A
60677,Anesthesiology Leadership Council 1,PAC,Political Committee,527 East Park Avenue,,Tallahassee,FL,32301,Leon,8504041000,Rosemeier,Frank,,Doyle,John,Joseph
60673,Anesthesiology Leadership Council 2,PAC,Political Committee,527 East Park Avenue,,Tallahassee,FL,32301,Leon,8504041000,Rosemeier,Frank,,Doyle,John,Doyle
60610,Anesthesiology Leadership Council 3,PAC,Political Committee,527 East Park Avenue,,Tallahassee,FL,32301,Leon,8504041000,Rosemeier,Frank,,Doyle,John,Joseph
61073,Apartment Political Action Committee,PAC,Political Committee,711 N. Orlando Ave,Suite 201,Maitland,FL,32751,Orange,4079602910,Nurse,Rose,,Henderson,Sara,
